Ссылка,Количество комнат,Цена,Адрес,Площадь,Дополнительная информация,Этаж,Количество этажей в доме
https://domclick.ru/card/sale__flat__716818800,1-комн. квартира,2000000,"Челябинск, улица Молодогвардейцев, 41В","42,8",2,10
https://domclick.ru/card/sale__flat__414059134,1-комн. квартира,1775000,"Челябинск, улица Братьев Кашириных, 85А","40,6",8,10
https://domclick.ru/card/sale__flat__467876960,1-комн. квартира,1650000,"Челябинск, улица Художника Русакова, 7Б",41,10,10
https://domclick.ru/card/sale__flat__422163098,1-комн. квартира,1629000,"Челябинск, улица Захаренко, 11Б",41,9,10
https://domclick.ru/card/sale__flat__548841743,1-комн. квартира,2199999,"Челябинск, улица Академика Королёва, 26","46,3",5,10
https://domclick.ru/card/sale__flat__133086143,1-комн. квартира,1350000,"Челябинск, улица Энгельса, 38",33,1,5
https://domclick.ru/card/sale__flat__348044004,1-комн. квартира,1570000,"Челябинск, улица Генерала Мартынова, 14",43,10,10
https://domclick.ru/card/sale__flat__344646562,1-комн. квартира,1300000,"Челябинск, улица Братьев Кашириных, 114","32,8",1,10
https://domclick.ru/card/sale__flat__652844373,1-комн. квартира,1400000,"Челябинск, Южная улица, 4А",33,2,5
https://domclick.ru/card/sale__flat__272791080,1-комн. квартира,1090000,"Челябинск, улица 3 Интернационала, 94","30,4",1,5
https://domclick.ru/card/sale__flat__632002010,1-комн. квартира,1550000,"Челябинск, улица Александра Шмакова, 15",43,10,11
https://domclick.ru/card/sale__flat__671685480,1-комн. квартира,1000000,"Челябинск, улица 50-летия ВЛКСМ, 3А","32,6",3,5
https://domclick.ru/card/sale__flat__424013116,1-комн. квартира,1200000,"Челябинск, улица Университетская Набережная, 103",36,7,19
https://domclick.ru/card/sale__flat__375477199,1-комн. квартира,1280000,"Челябинск, улица 3 Интернационала, 68А","29,8",2,9
https://domclick.ru/card/sale__flat__664284929,1-комн. квартира,1550000,"Челябинск, улица Генерала Мартынова, 8",36,1,9
https://domclick.ru/card/sale__flat__494415329,1-комн. квартира,1190000,"Челябинск, улица Василевского, 79","31,2",7,9
https://domclick.ru/card/sale__flat__390890283,1-комн. квартира,1150000,"Челябинск, Свердловский проспект, 26А","30,6",5,5
https://domclick.ru/card/sale__flat__472534672,1-комн. квартира,1300000,"Челябинск, улица Дмитрия Неаполитанова, 12","35,7",9,10
https://domclick.ru/card/sale__flat__314951119,1-комн. квартира,1149000,"Челябинск, Каслинская улица, 50А","31,2",2,5
https://domclick.ru/card/sale__flat__606480984,1-комн. квартира,1150000,"Челябинск, улица Бажова, 80","31,4",1,4
https://domclick.ru/card/sale__flat__199910688,1-комн. квартира,1490000,"Челябинск, улица Цвиллинга, 49А","31,6",5,5
https://domclick.ru/card/sale__flat__420320638,1-комн. квартира,950000,"Челябинск, улица Комаровского, 11",33,3,5
